account_id,customer_name,age,city,latitude,longitude,account_age_days,avg_monthly_balance,account_type,kyc_status,is_mule,mule_ring_id,primary_device_id,phone_number,email,pan_number,created_date
IB1478163327,Lagan Lanka,68,Kochi,9.885005863673824,76.20464214762977,3381,58736,SAVINGS,FULL_KYC,0,-1,DEV_B4812C5A,01187022049,buchtarini@example.net,KNLNN6652B,2023-03-28
IB2812140441,Krish Bath,22,Lucknow,26.76873904797232,80.89653217867816,2830,18912,SAVINGS,FULL_KYC,0,-1,DEV_02B3FFAA,+915187066582,badalbhardwaj@example.org,JBLHN0858V,2023-10-12
IB7635473142,Miraya Sankar,35,Coimbatore,10.98984180925677,76.91563814164613,391,402833,SAVINGS,FULL_KYC,0,-1,DEV_0CD9D635,08774971859,amajumdar@example.org,YVNYN5729D,2019-02-10
IB7110082321,Shlok Walla,38,Coimbatore,10.931095899962356,77.05144261444136,1743,58587,SAVINGS,FULL_KYC,0,-1,DEV_C3D75074,+917653596591,lbala@example.net,VAWPP1956S,2023-03-08
IB5710360983,Manjari Sathe,43,Pune,18.540745206273378,73.91142565465488,3353,245870,SAVINGS,FULL_KYC,0,-1,DEV_B7AE2A8B,+911627959949,laganmann@example.com,MDZHM8707U,2017-11-11
IB2625792787,Indranil Bava,56,Chandigarh,30.68863565628142,76.79572795989888,1846,307698,SAVINGS,FULL_KYC,0,-1,DEV_02DF698D,09852427462,fchana@example.net,LFRMQ8926E,2024-01-09
IB1298737106,Kiara Sekhon,63,Coimbatore,10.94557965513031,76.91787759272042,691,453432,SAVINGS,FULL_KYC,0,-1,DEV_D197A7F1,+911740532948,prerak48@example.net,HBCKL4322V,2022-10-25
IB5728765136,Ehsaan Uppal,38,Bhopal,23.25068206047369,77.47682208532815,1031,199081,SAVINGS,FULL_KYC,0,-1,DEV_CD9CFE08,+911483067026,tara01@example.net,QAWVI3629W,2018-02-06
IB8173347748,Zain Sethi,65,Bangalore,13.0573309175425,77.61960707704932,2860,337911,SAVINGS,FULL_KYC,0,-1,DEV_CE13EB3D,+917255646167,daminigala@example.org,JIBDG6323C,2019-05-03
IB4131575764,Kartik Solanki,31,Jaipur,26.902452042370225,75.73398956535685,2986,365795,SAVINGS,FULL_KYC,0,-1,DEV_49A64EC0,09766124240,shlokbumb@example.net,VAWXP7904J,2021-12-05
IB1240251661,Dishani Baria,23,Kochi,9.991009160154242,76.24023295740447,636,115615,SAVINGS,FULL_KYC,0,-1,DEV_5DF62B9C,08317242485,hayerdhanuk@example.com,DQVJM4267P,2017-10-24
IB8110054933,Amira Hans,46,Bangalore,13.046936630777342,77.61857037404009,950,143873,SAVINGS,FULL_KYC,0,-1,DEV_8C74FE65,8134530118,jayan85@example.org,PGQVP1977Z,2017-01-22
IB7609857128,Romil Bhatti,68,Bangalore,12.98691719804471,77.6695645767205,2000,194790,SAVINGS,FULL_KYC,0,-1,DEV_95EBD044,01472031456,balajivin@example.net,BGJPC7911F,2023-09-11
IB7483366056,Purab Andra,26,Delhi,28.751156431506747,77.17222058193333,991,333962,SAVINGS,FULL_KYC,0,-1,DEV_1A072EF1,7177015254,urvi33@example.org,LBAFK3795I,2023-07-07
IB8217611860,Riaan Madan,59,Vizag,17.602705541230392,83.19632385730131,2282,282408,SAVINGS,FULL_KYC,0,-1,DEV_03C0BB0C,00457843902,kiaan49@example.net,FEJGM2386J,2022-01-21
IB9639245200,Rohan Mahajan,67,Jaipur,26.832910348596737,75.85695769002582,3440,144893,SAVINGS,FULL_KYC,0,-1,DEV_0F46138D,4463239354,aptemishti@example.net,TIUEF2293I,2024-06-22
IB6555540744,Onkar Lata,31,Mumbai,19.060744741265843,72.96076318550422,3312,143091,SAVINGS,FULL_KYC,0,-1,DEV_5C09D582,2536197096,kiarasahota@example.org,OWYSR9727L,2017-06-25
IB4919706735,Nirvi Rao,61,Jaipur,26.86968895828973,75.8077898989732,2859,109286,SAVINGS,FULL_KYC,0,-1,DEV_21096598,02783512256,sinhagokul@example.net,LCBDP5415T,2020-01-08
IB4274958945,Jivin Kanda,55,Kolkata,22.660699949530702,88.44448681612366,367,319019,SAVINGS,FULL_KYC,0,-1,DEV_4FAFE1C8,02005502508,sainishray@example.net,EOJZL6854D,2017-01-20
IB1083651970,Nakul Sodhi,44,Ahmedabad,23.095744375564635,72.63633310587223,1624,130541,SAVINGS,FULL_KYC,0,-1,DEV_3D4CF92A,03280091777,rauelakshi@example.com,YQBLF4637C,2020-10-23
IB5067116918,Neelofar Sidhu,26,Bangalore,13.016381518968926,77.65320465068402,3480,284291,SAVINGS,FULL_KYC,0,-1,DEV_2D969F35,5026169106,hridaansangha@example.net,DTBML8750O,2016-07-31
IB8128575500,Keya Bera,56,Delhi,28.633025391794824,77.10553475748364,2849,226846,SAVINGS,FULL_KYC,0,-1,DEV_A2727679,4068462768,dkorpal@example.net,BFQFE7569G,2023-11-14
IB6633778586,Umang Salvi,63,Chandigarh,30.759975611527892,76.7576200167829,2484,241708,SAVINGS,FULL_KYC,0,-1,DEV_2DFFC29A,+918809365934,tushar90@example.com,JUMPB6054S,2021-09-29
